Identifier,Name,Parent,Area/Region,Section,Metres,Feet,Latitude,Longitude,Ascent,Notes
863,Sgurr nan Conbhairean,,Glen Affric to Glen Moriston,11B,1109,3638,57.177622,-5.095407,,
818,Toll Creagach,,Loch Duich to Cannich,11A,1053.7,3457,57.309228,-4.999937,15/10/2020,"Jo, Freya, Finn and the Baxter’s"
810,Tom a' Choinnich,,Loch Duich to Cannich,11A,1112.7,3651,57.299545,-5.048961,15/10/2020,"Jo, Freya, Finn and the Baxter’s"
927,An Riabhachan,,Killilan to Inverness,12B,1129,3704,57.362437,-5.104745,,
931,An Socach,,Killilan to Inverness,12B,1069,3507,57.350229,-5.158603,,
898,Bidein a' Choire Sheasgaich,,Kyle of Lochalsh to Garve,12A,945,3100,57.41971,-5.250472,,
895,Carn nan Gobhar,,Kyle of Lochalsh to Garve,12A,992,3255,57.452331,-4.879935,29/08/2020,Alan and Ian
936,Carn nan Gobhar,,Killilan to Inverness,12B,992.3,3256,57.363304,-5.024544,,
896,Lurg Mhor,,Kyle of Lochalsh to Garve,12A,987,3238,57.413091,-5.223666,,
890,Maoile Lunndaidh,,Kyle of Lochalsh to Garve,12A,1004.9,3297,57.464477,-5.111002,,
899,Moruisg,,Kyle of Lochalsh to Garve,12A,925.7,3037,57.499712,-5.17063,,
885,Sgurr a' Chaorachain,,Kyle of Lochalsh to Garve,12A,1053,3455,57.452501,-5.189284,,
884,Sgurr a' Choire Ghlais,,Kyle of Lochalsh to Garve,12A,1083.7,3555,57.444289,-4.90374,29/08/2020,
892,Sgurr Choinnich,,Kyle of Lochalsh to Garve,12A,999.3,3279,57.451026,-5.207916,,
886,Sgurr Fhuar-thuill,,Kyle of Lochalsh to Garve,12A,1049.2,3442,57.44968,-4.94178,29/08/2020,Alan and Ian
926,Sgurr na Lapaich,,Killilan to Inverness,12B,1151.9,3779,57.369311,-5.059726,,
894,Sgurr na Ruaidhe,,Kyle of Lochalsh to Garve,12A,993,3258,57.441497,-4.852465,29/08/2020,Alan and Ian
957,Beinn Alligin - Sgurr Mor,,Loch Torridon to Loch Maree,13A,986,3235,57.590829,-5.572765,19/08/2020,
968,Beinn Alligin - Tom na Gruagaich,,Loch Torridon to Loch Maree,13A,922,3025,57.580519,-5.581912,19/08/2020,
955,Beinn Eighe - Ruadh-stac Mor,,Loch Torridon to Loch Maree,13A,1010,3314,57.593735,-5.429454,19/08/2020,
956,Beinn Eighe - Spidean Coire nan Clach,,Loch Torridon to Loch Maree,13A,993,3258,57.582098,-5.403706,19/08/2020,
983,Beinn Liath Mhor,,Applecross to Achnasheen,13B,926,3038,57.512073,-5.400633,,
954,Liathach - Mullach an Rathain,,Loch Torridon to Loch Maree,13A,1023.9,3359,57.560892,-5.492533,19/08/2020,
953,Liathach - Spidean a' Choire Leith,,Loch Torridon to Loch Maree,13A,1054.8,3461,57.564197,-5.463609,19/08/2020,
982,Maol Chean-dearg,,Applecross to Achnasheen,13B,933,3061,57.491697,-5.465549,19/08/2020,
981,Sgorr Ruadh,,Applecross to Achnasheen,13B,960.7,3152,57.498622,-5.407747,,
1043,A' Chailleach,,The Fannaichs,14B,998.6,3276,57.693773,-5.128713,29/07/2023,"Repeat with Ian, Alan, Kris and Jess. "
1014,A' Mhaighdean,,Loch Maree to Loch Broom,14A,965.8,3169,57.719644,-5.346737,,
1052,An Coileachan,,The Fannaichs,14B,924,3031,57.667625,-4.949498,,
